MSSubClass,LotFrontage,LotArea,Neighborhood,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,Exterior2nd,MasVnrArea,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BedroomAbvGr,TotRmsAbvGrd,FireplaceQu,GarageYrBlt,GarageArea,WoodDeckSF,OpenPorchSF,MoSold,YrSold
20,60,7200,11,4,5,1950,1950,4,5,0,4,5,0,0,0,1040,0,1040,2,4,0,1950,420,0,29,7,2006
20,85,8500,11,5,3,1961,1961,3,3,203,0,3,600,635,1235,1235,0,1235,2,6,0,1961,480,0,0,12,2006
30,80,13360,2,5,7,1921,2006,2,5,0,0,1,713,163,876,964,0,964,2,5,0,1921,432,0,0,8,2009
190,60,7200,7,6,6,1910,1998,1,1,0,2,3,1046,168,1214,1260,1031,2291,4,9,2,1900,506,0,0,11,2007
60,69,9337,0,6,5,1997,1997,0,0,0,0,0,648,176,824,905,881,1786,3,7,0,1997,684,0,162,5,2007
60,0,9765,17,6,8,1993,1993,0,0,68,0,1,310,370,680,680,790,1470,3,6,1,1993,420,232,63,4,2009
20,78,10264,0,7,5,1999,1999,0,0,183,3,1,1162,426,1588,1588,0,1588,3,6,0,1999,472,158,29,8,2006
20,73,10921,15,4,5,1965,1965,3,3,48,0,3,520,440,960,960,0,960,3,6,0,1965,432,120,0,5,2007
30,85,10625,15,5,5,1920,1950,2,5,0,0,1,108,350,458,835,0,835,2,5,0,1920,366,0,0,5,2010
20,77,9320,11,4,5,1959,1959,7,4,0,0,1,569,381,950,1225,0,1225,3,6,0,0,0,352,0,1,2010
20,0,10603,6,6,7,1977,2001,7,4,28,2,1,1200,410,1610,1610,0,1610,3,6,1,1977,480,168,68,2,2010
60,77,9206,12,6,5,1985,1985,3,3,336,0,2,0,741,741,977,755,1732,3,7,1,1985,476,192,46,6,2010
90,64,7018,12,5,5,1979,1979,3,3,0,4,5,0,0,0,1535,0,1535,4,8,0,1979,410,0,0,6,2009
20,94,10402,0,7,5,2009,2009,0,0,0,0,2,0,1226,1226,1226,0,1226,3,6,0,2009,740,0,36,5,2010
50,0,7758,13,7,4,1931,1950,9,8,600,0,6,224,816,1040,1226,592,1818,4,7,1,1951,240,0,0,6,2007
60,75,9375,5,8,5,2003,2004,0,0,768,0,2,0,1053,1053,1053,939,1992,3,9,2,2003,648,140,45,8,2008
30,60,10800,7,4,7,1885,1995,0,0,0,0,2,0,641,641,1047,0,1047,2,6,0,1954,273,0,0,8,2007
20,50,6000,7,5,5,1948,1950,0,0,0,0,1,104,516,789,789,0,789,2,5,0,1948,250,0,0,4,2008
50,85,8500,13,5,7,1919,2005,6,6,0,0,2,0,793,793,997,520,1517,3,7,0,0,0,0,0,8,2007
20,105,11751,6,6,6,1977,1977,7,4,480,0,4,705,1139,1844,1844,0,1844,3,7,1,1977,546,0,122,1,2010
50,75,9525,15,6,4,1954,1972,2,5,0,0,3,444,550,994,1216,639,1855,4,7,0,1954,325,182,0,10,2006
80,0,7750,17,7,5,2000,2000,0,0,0,0,0,250,134,384,774,656,1430,3,7,1,2000,400,180,0,4,2010
60,77,9965,0,7,5,2007,2007,0,0,220,3,0,984,280,1264,1282,1414,2696,4,10,2,2007,792,120,184,10,2007
20,0,21000,2,6,5,1953,1953,2,5,184,2,1,35,905,1809,2259,0,2259,3,7,2,1953,450,166,120,10,2007
70,61,7259,2,6,8,1945,2002,2,5,0,0,1,774,104,1028,1436,884,2320,3,9,1,1945,180,224,0,7,2007
160,34,3230,5,6,5,1999,1999,1,1,1129,0,0,419,310,729,729,729,1458,2,5,3,1999,440,0,32,6,2007
20,0,11616,9,5,5,1962,1962,2,5,116,0,6,170,252,1092,1092,0,1092,3,6,5,1962,288,0,20,9,2009
20,74,8536,15,5,5,2006,2007,0,0,0,0,2,0,1125,1125,1125,0,1125,2,5,0,2007,430,80,64,4,2007
60,90,12376,12,7,5,1990,1990,7,4,0,2,0,1470,203,1673,1699,1523,3222,5,11,1,1990,594,367,0,5,2010
60,65,8461,0,6,5,2005,2006,0,0,0,0,2,0,728,728,728,728,1456,3,8,2,2005,390,0,24,7,2006
80,0,21453,19,6,5,1969,1969,7,4,0,1,1,938,0,938,988,0,988,1,4,1,1969,540,0,130,10,2006
50,50,6060,13,4,5,1939,1950,8,9,0,0,2,0,732,732,772,351,1123,3,4,0,1979,264,0,0,6,2007
20,75,9464,11,6,7,1958,1958,1,1,135,0,4,570,510,1080,1080,0,1080,3,5,0,1958,288,0,0,6,2008
120,55,7892,12,6,5,1993,1993,7,4,0,0,0,300,899,1199,1199,0,1199,2,5,0,1993,530,0,63,3,2008
20,48,17043,6,6,5,1979,1998,3,3,0,0,2,0,1362,1362,1586,0,1586,3,7,1,1979,435,192,0,1,2009
190,60,6780,13,6,8,1935,1982,2,5,0,3,0,490,30,520,520,0,754,2,5,0,0,0,53,0,6,2006
120,0,4928,20,6,5,1976,1976,7,4,0,0,1,120,958,1078,958,0,958,2,5,1,1977,440,0,205,2,2007
45,55,4388,7,5,7,1930,1950,5,5,0,0,6,116,556,672,840,0,840,3,5,1,0,0,0,0,6,2007
60,69,7590,11,6,5,1966,1966,0,0,266,0,4,512,148,660,660,688,1348,3,6,3,1966,453,188,108,7,2006
20,69,8973,11,5,7,1958,1991,7,4,85,0,3,567,413,1008,1053,0,1053,3,6,0,1998,750,0,80,7,2006
60,88,14200,11,7,6,1966,1966,1,1,309,0,3,445,479,924,1216,941,2157,4,8,2,1966,487,105,66,5,2006
60,0,12224,17,6,5,2000,2000,0,0,40,0,0,695,297,992,1022,1032,2054,3,7,1,2000,390,24,48,7,2009
20,75,7388,11,5,6,1959,2002,1,1,0,0,3,405,658,1063,1327,0,1327,3,7,0,1974,624,0,0,7,2007
20,0,6853,16,8,5,2001,2002,0,0,136,0,0,1005,262,1267,1296,0,1296,2,6,0,2001,471,192,25,6,2009
20,78,10335,9,5,6,1968,1993,7,4,0,0,3,570,891,1461,1721,0,1721,3,7,1,1968,440,0,96,7,2006
20,80,10400,6,7,6,1970,1970,7,4,288,0,2,0,1304,1304,1682,0,1682,3,7,2,1970,530,98,0,5,2008
20,0,10355,11,5,5,1967,1967,1,1,196,0,4,695,519,1214,1214,0,1214,3,5,3,1967,318,0,111,7,2007
90,82,11070,4,7,5,1988,1989,0,0,70,0,2,0,1907,1907,1959,0,1959,5,9,0,1989,766,0,0,7,2006
60,73,9066,0,8,5,1999,2000,0,0,320,2,0,668,336,1004,1004,848,1852,3,7,1,1999,660,224,106,12,2008
60,65,15426,0,6,5,1997,1997,0,0,0,0,0,821,107,928,928,836,1764,3,7,0,1997,470,276,99,8,2009
20,70,10500,11,4,5,1971,1971,3,3,0,0,1,432,432,864,864,0,864,3,5,5,0,0,0,0,4,2010
20,78,11645,0,7,5,2005,2005,0,0,0,3,0,1300,434,1734,1734,0,1734,3,7,0,2005,660,160,24,1,2006
50,71,8520,11,5,4,1952,1952,4,5,0,0,3,507,403,910,910,475,1385,4,6,0,2000,720,0,0,6,2010
20,78,10335,0,7,5,1999,1999,0,0,183,1,0,679,811,1490,1501,0,1501,3,6,0,1999,577,144,29,6,2009
90,70,9100,9,5,5,1963,1963,3,3,336,0,3,1332,396,1728,1728,0,1728,6,10,0,1963,504,0,0,11,2006
160,24,2522,15,6,5,2004,2006,0,0,50,0,2,0,970,970,970,739,1709,3,7,0,2004,380,0,40,4,2006
30,51,6120,8,5,7,1931,1993,2,5,0,0,4,209,506,715,875,0,875,2,5,0,1931,180,48,0,11,2009
60,0,9505,17,7,5,2001,2001,0,0,180,0,2,0,884,884,884,1151,2035,3,8,2,2001,434,144,48,5,2010
20,63,7500,12,7,5,2004,2005,0,0,120,0,0,680,400,1080,1080,0,1080,3,6,0,0,0,0,0,4,2008
50,0,6240,8,5,4,1936,1950,1,1,0,0,2,0,896,896,896,448,1344,3,7,0,1936,240,200,114,4,2006
20,120,10356,0,5,6,1975,1975,3,3,0,3,4,716,253,969,969,0,969,3,5,0,1975,440,0,0,1,2007
20,107,13891,10,8,5,2007,2008,0,0,436,1,0,1400,310,1710,1710,0,1710,2,6,2,2007,866,0,102,1,2008
60,0,14803,6,6,5,1971,1971,3,3,252,0,3,416,409,825,1097,896,1993,4,8,2,1971,495,0,66,6,2006
20,0,13500,19,6,7,1960,1975,4,4,0,1,4,429,93,1602,1252,0,1252,1,4,2,1960,564,409,0,3,2008
30,84,11340,7,6,5,1923,1950,2,5,0,0,2,0,1200,1200,1200,0,1200,4,7,0,1923,312,0,0,3,2006
50,60,9600,15,6,5,1924,1950,2,5,0,0,2,0,572,572,572,524,1096,2,5,0,0,0,0,8,4,2008
20,60,7200,11,5,7,1950,1950,2,5,0,4,5,0,0,0,1040,0,1040,2,5,0,1950,625,0,0,6,2006
60,92,12003,16,8,5,2009,2010,0,0,84,0,2,0,774,774,774,1194,1968,4,8,2,2009,680,0,75,5,2010
60,100,12552,5,7,5,2004,2005,0,0,0,0,0,222,769,991,991,956,1947,3,8,2,2004,678,0,136,5,2010
60,134,19378,17,7,5,2005,2006,0,0,456,2,0,57,1335,1392,1392,1070,2462,4,9,2,2006,576,239,132,3,2006
20,0,11120,1,6,6,1984,1984,7,4,0,0,4,660,572,1232,1232,0,1232,3,6,0,1984,516,0,0,6,2008
60,110,13688,10,9,5,2003,2004,0,0,664,3,0,1016,556,1572,1572,1096,2668,3,10,2,2003,726,400,0,3,2008
20,95,12182,10,7,5,2005,2005,0,0,226,2,4,1201,340,1541,1541,0,1541,3,7,2,2005,532,0,70,5,2010
45,55,5500,7,4,6,1956,1956,1,1,0,0,2,0,882,882,882,0,882,1,4,0,0,0,0,0,4,2007
40,40,5400,7,6,7,1926,2004,1,1,0,2,6,370,779,1149,1149,467,1616,3,5,0,1926,216,0,0,10,2007
190,62,10106,15,5,7,1940,1999,2,5,0,0,1,351,112,644,808,547,1355,4,6,0,0,0,140,0,9,2008
20,0,10708,19,5,5,1955,1993,2,5,0,0,6,379,470,1617,1867,0,1867,2,7,2,1955,303,476,0,11,2009
60,86,10562,10,8,5,2007,2007,0,0,300,0,0,1288,294,1582,1610,551,2161,3,8,2,2007,789,178,120,11,2007
60,62,8244,17,7,5,2004,2004,0,0,0,0,2,0,840,840,840,880,1720,3,7,2,2004,440,100,48,5,2007
20,0,16669,16,8,6,1981,1981,7,4,653,0,2,0,1686,1686,1707,0,1707,2,6,1,1981,511,574,64,1,2006
50,0,12358,7,5,6,1941,1950,1,1,0,0,3,360,360,720,854,0,1382,2,7,0,1991,660,237,0,5,2007
20,141,31770,11,6,5,1960,1960,4,4,112,1,4,639,441,1080,1656,0,1656,3,7,2,1960,528,210,62,5,2010
160,44,5306,18,7,7,1987,1987,3,3,0,0,0,495,354,1064,1064,703,1767,2,5,1,1987,504,441,35,6,2006
20,80,10197,11,6,5,1961,1961,5,2,491,0,1,288,700,1362,1362,0,1362,3,6,1,1961,504,0,20,6,2008
20,47,12416,16,6,5,1986,1986,0,4,132,0,1,1398,0,1606,1651,0,1651,3,7,1,1986,616,192,0,11,2008
20,84,12615,15,6,7,1950,2001,5,2,0,3,1,477,725,1202,2158,0,2158,4,7,2,1950,576,0,29,6,2007
60,97,10029,19,6,5,1988,1989,7,4,268,0,0,831,320,1151,1164,896,2060,4,8,1,1988,521,0,228,9,2007
50,0,13650,9,5,5,1958,1958,1,1,0,0,1,57,554,1052,1252,668,1920,4,8,2,1958,451,0,0,7,2006
20,63,17423,18,9,5,2008,2009,0,0,748,0,0,1904,312,2216,2234,0,2234,1,9,2,2009,1166,0,60,7,2009
30,60,8520,7,5,6,1923,2006,2,5,0,0,2,0,968,968,968,0,968,2,5,0,1935,480,0,0,7,2007
160,0,2117,5,6,5,2000,2000,1,1,456,0,0,436,320,756,769,756,1525,3,5,1,2000,440,0,0,6,2007
70,54,7588,2,7,6,1920,1950,9,8,0,0,6,352,441,793,901,901,1802,4,9,2,1920,216,0,0,7,2006
20,60,9060,15,5,6,1957,2006,2,5,98,4,5,0,0,0,1340,0,1340,3,7,2,1957,252,116,0,6,2007
50,63,11426,7,7,5,2003,2003,0,0,0,0,2,0,1362,1362,1362,720,2082,3,6,0,2003,484,280,238,6,2008
50,92,7438,8,5,8,1908,1991,8,4,0,0,2,0,504,504,936,316,1252,3,5,0,1986,576,104,0,6,2006
75,90,22950,7,10,9,1892,1993,2,5,0,2,2,0,1107,1107,1518,1518,3608,4,12,1,1993,840,0,260,6,2006
80,0,9947,4,7,5,1990,1991,3,3,0,3,0,611,577,1188,1217,0,1217,3,6,0,1990,497,168,27,6,2009
50,60,10410,7,5,7,1916,1987,3,3,0,0,2,0,660,660,808,704,1656,3,8,0,1916,180,0,0,8,2009
90,64,7018,12,5,5,1979,1979,7,4,275,3,0,1086,0,1086,1224,0,1224,2,6,1,1979,528,120,0,6,2009
120,41,4923,18,8,5,2001,2002,6,6,0,3,0,1153,440,1593,1593,0,1593,0,5,2,2001,682,0,120,8,2008
70,70,10570,2,8,8,1932,1994,4,7,0,0,3,297,556,853,1549,1178,2727,3,10,1,1932,440,0,74,12,2007
60,0,7472,11,7,9,1972,2004,3,3,138,0,1,626,99,725,725,754,1479,4,7,0,1972,484,0,32,6,2007
20,68,9017,0,7,5,1999,1999,0,0,0,3,0,560,871,1431,1431,0,1431,3,6,0,1999,666,0,35,9,2009
160,24,2522,15,7,5,2004,2004,0,0,50,0,2,0,970,970,970,739,1709,3,7,0,2004,380,0,40,5,2006
20,60,7180,0,5,7,1972,1972,3,3,0,3,1,390,474,864,864,0,864,3,5,0,1989,352,0,0,5,2008
160,24,2280,20,6,6,1976,1976,7,10,0,0,1,566,289,855,855,601,1456,3,7,1,1976,440,87,0,7,2009
20,79,9416,5,7,5,2007,2007,6,6,205,0,0,1126,600,1726,1726,0,1726,3,8,2,2007,786,171,138,9,2007
75,174,25419,11,8,4,1918,1990,9,8,0,0,0,1036,140,1360,1360,1360,3112,4,8,4,1918,795,0,16,3,2006
75,92,5520,7,6,6,1912,1950,2,5,0,0,2,0,755,755,929,929,2229,5,8,0,0,0,0,198,7,2009
20,76,9591,10,8,5,2004,2005,0,0,262,3,0,1088,625,1713,1713,0,1713,3,7,2,2004,856,0,26,1,2009
20,80,8546,15,4,5,2003,2004,0,0,0,0,2,0,1121,1121,1121,0,1121,2,5,0,2003,440,132,64,3,2010
20,75,10125,4,6,6,1977,1977,7,4,0,0,1,641,276,1196,1279,0,1279,3,6,3,1980,473,238,83,2,2008
50,50,7000,7,6,6,1924,1950,1,1,0,0,6,617,0,617,865,445,1310,2,6,0,1924,398,0,0,5,2006
120,0,4438,0,6,5,2004,2004,0,0,205,3,0,662,186,848,848,0,848,1,3,2,2004,420,149,0,1,2008
50,50,3500,7,5,7,1947,1950,8,9,0,0,6,312,408,720,720,564,1284,2,5,0,1948,240,0,35,4,2009
20,99,11851,17,7,5,1990,1990,3,3,0,0,2,0,1424,1424,1442,0,1442,3,5,0,1990,500,0,34,5,2009
20,40,13673,9,5,5,1962,1962,3,3,0,0,2,0,1140,1140,1696,0,1696,3,8,1,1962,349,0,30,3,2007
20,0,12493,11,4,5,1960,1960,2,5,0,0,1,419,375,1100,1100,0,1100,3,6,5,1960,312,355,0,4,2008
60,0,14364,12,7,5,1988,1989,7,4,128,1,0,1065,92,1157,1180,882,2062,3,7,2,1988,454,60,55,4,2007
20,75,8250,11,6,7,1964,1964,3,3,260,0,3,787,305,1092,1092,0,1092,3,6,0,1964,504,0,0,7,2008
30,67,5604,15,5,6,1925,1950,9,8,0,0,3,468,396,864,864,0,864,2,5,0,0,0,0,0,4,2008
20,83,10420,15,6,5,2009,2009,0,0,0,2,0,36,1176,1212,1212,0,1212,3,6,0,2009,460,100,22,3,2010
60,72,8640,5,7,5,2009,2009,0,0,0,0,0,822,78,900,932,920,1852,3,7,1,2009,644,168,108,7,2009
20,43,13568,0,5,5,1995,1995,0,0,0,0,1,716,274,990,990,0,990,3,5,0,1996,576,224,0,7,2006
